Accession name	Versailles accession number	Original stock center number	Country	Versailles mapping population	Genotyping remarks	Latitude	Longitude	Quality of geographic information
9481B	261AV	CS22460	Kazakhstan			38.59	68.79	nd
Aa-0	32AV	N900	Germany			50.92	9.57	Estimated location
Aba-1	734AV		France			48.62	-4.42	Reliable location
Abd-0	177AV	N932	United Kingdom	parent of F2(s)		57.15	-2.22	Estimated location
Abil-2	609AV	N28921	Denmark			56.68	9.59	Estimated location
Ag-0	64AV	N901	France		two Ag-0 accessions (64AV and 426AV) identical	45.1	1.94	Estimated location
Aitba-2	666AV		Morocco			31.48	-7.45	Reliable location
Ak-1	115AV	N938	Germany			48.07	7.63	Estimated location
Akita	252AV		Japan			39.77	140.1	Estimated location
Al-0	456AV	N941	Denmark			55.19	9.01	Estimated location
Alc-0	178AV	N1656	Spain			40.49	-3.36	Estimated location
Alca-1	632AV		Italy			37.52	15.09	Estimated location
Alca-2	633AV		Italy			37.52	15.09	Estimated location
Ale-8	618AV		Sweden			59.35	18.07	nd
All1-4	4AV		France			45.22	1.39	Reliable location
Altai-2	547AV		China			47.76	88.4	Reliable location
Altai-5	548AV		China	parent of F2(s)		47.76	88.4	Reliable location
Altenb-2	668AV		Italy			46.37	11.24	Reliable location
Am-0	457AV	N942	Belgium			50.55	5.32	Estimated location
An-1	96AV	N944	Belgium		two An-1 accessions (96AV and 422AV) identical	51.23	4.4	Estimated location
And-1	612AV	N28938	Belgium			50.85	4.28	Estimated location
Ang-0	99AV	N948	Belgium		identical to  Ang-1 and Bch-1	50.61	5.6	Estimated location
Ang-1	458AV	N950	Belgium		identical to  Ang-0 and Bch-1	50.62	5.6	Estimated location
Angit-1	653AV		Italy			38.76	16.24	Reliable location
Anz-0	704AV		Iran			37.5	49.37	Reliable location
Anz-1a	705AV		Iran			37.5	49.37	Reliable location
Anz-2	706AV		Iran			37.5	49.37	Reliable location
Anz-3a	707AV		Iran			37.5	49.37	Reliable location
Apost-1	654AV		Italy			39.01	16.47	Reliable location
Are-0	634AV		Portugal		identical to  Are-1 and Are-1a	32.74	-16.93	Reliable location
Are-1	635AV		Portugal		identical to  Are-0 and Are-1a	32.74	-16.93	Reliable location
Are-10	641AV		Portugal			32.74	-16.93	Reliable location
Are-11	642AV		Portugal		identical to  Are-2, Are-7 and Are-9	32.74	-16.93	Reliable location
Are-1a	662AV		Portugal		identical to Are-0 and Are-1	32.74	-16.93	Reliable location
Are-2	636AV		Portugal		identical to  Are-7, Are-9 and Are-11	32.74	-16.93	Reliable location
Are-6	637AV		Portugal			32.74	-16.93	Reliable location
Are-7	638AV		Portugal		identical to  Are-2, Are-9 and Are-11	32.74	-16.93	Reliable location
Are-9	640AV		Portugal		identical to  Are-2, Are-7 and Are-11	32.74	-16.93	Reliable location
Arg-4	3AV		France			46.95	4.05	Reliable location
Arr-2	735AV		France			43.98	3.53	Reliable location
Ba-1	275AV	N952	United Kingdom			54.6	-5.98	Estimated location
Bas-1	347AV		Russia			51.83	79.47	Reliable location
Bas-2	348AV		Russia			51.83	79.47	Reliable location
Bas-3	349AV		Russia			51.83	79.47	Reliable location
Bau-1	736AV		France			50.43	3.33	Reliable location
Bay-0	41AV	N954	Germany	parent of RIL set(s)	two Bay-0 accessions (41AV and 429AV) identical	49.95	11.57	Estimated location
Baz-0	550AV		France		identical to Ld-3, Ws-1, Ws-2 and Ws-4	48.81	31.66	Reliable location
Bch-1	37AV	N956	Germany		identical to  Ang-0 and Ang-1	53.48	10.62	Estimated location
Bch1-1	315AV		Germany			53.48	10.62	Estimated location
Bd-0	52AV	N962	Germany			52.46	13.29	Estimated location
Be-0	124AV	N964	Germany		identical to  Tsu-0, Tsu-1 and Tu-0	49.68	8.6	Estimated location
Bea-1	326AV		France		identical to Cos-2	47.78	1.63	Estimated location
Ber	299AV	N3109	Denmark		identical to Gr-1	55.68	12.57	Estimated location
Berkeley	280AV	N8068	USA		identical to Col-0, Col-4, Col-5, Col-7, Li-5, Limeport, Bla-12 and XXX-0	37.88	-122.27	Estimated location
Bez-1	737AV		France			43.84	3.7	Reliable location
Bij	355AV		Russia			52.52	85.27	Reliable location
